Key;English;;;;;;;;;;;;;
EVTDESC97355_NEWS_LONG;The recent military and administrative takeover of the Panaman region by $COUNTRY$ has caused discussions among the international trading companies, as this territory homes the 'Panama Canal'. Since its opening the canal is already considered a very important sea traffic route, joining the Atlantic and the Pacific Ocean and thus replacing the long and treacherous route around South America. All major trading companies have already applied to the $COUNTRY_ADJ$ Board of Trade for formal rights of passage through the canal.;;;;;;;;;;;;;
EVTDESC97355_NEWS_MEDIUM;The takeover of the 'Panama Canal' by $COUNTRY$ has caused discussions among the international trading companies. The canal is already considered a very important sea traffic route, joining the Atlantic and the Pacific Ocean and thus replacing the route around South America.;;;;;;;;;;;;;
EVTDESC97355_NEWS_SHORT;The takeover of the 'Panama Canal' by $COUNTRY$ has caused discussions among the international trading companies. The canal is already considered a very important sea traffic route.;;;;;;;;;;;;;
EVTNAME97365_NEWS_TITLE;$COUNTRY_ADJ$ Plans For 'Panama Canal' Revealed;;;;;;;;;;;;;
EVTDESC97365_NEWS_LONG;The $COUNTRY_ADJ$ government has officially presented plans for construction of the 'Panama Canal', a waterway directly linking the Atlantic Ocean to the Pacific Ocean and thus replacing the long and treacherous route around South America. According to the $COUNTRY_ADJ$ ambassador in Panama' the construction of this canal 'should be done within a few years…including possible problems of any kind'. The lead engineer did not comment on the comments of the ambassador and was rather reluctant about an exact starting date for the project.;;;;;;;;;;;;;
EVTDESC97365_NEWS_MEDIUM;The $COUNTRY_ADJ$ government has presented plans for construction of the 'Panama Canal', a waterway linking the Atlantic to the Pacific Ocean and thus replacing the long route around South America. The lead engineer was rather reluctant about an exact starting date.;;;;;;;;;;;;;
EVTDESC97365_NEWS_SHORT;The $COUNTRY_ADJ$ government has presented plans for construction of the 'Panama Canal', a waterway linking the Atlantic to the Pacific Ocean. An exact starting date was not given.;;;;;;;;;;;;;
EVTNAME97380_NEWS_TITLE;$COUNTRY$ Completes 'Panama Canal'!;;;;;;;;;;;;;
EVTDESC97380_NEWS_LONG;The $COUNRTY_ADJ$ High Council has formally opened the 'Panama Canal', one of the most prestigious but also most costly projects in the history of modern engineering which can undoubtedly be celebrated as the culmination of the $COUNRTY_ADJ$ technological ingenuity and medical innovation. The government has never commented on any technical problems, the project costs or the reported deathtoll due to tropical diseases. The annual charges for the right of passage however indicate that a rather high price in money, and in human life, might have been paid.;;;;;;;;;;;;;
EVTDESC97380_NEWS_MEDIUM;The $COUNRTY_ADJ$ High Council has formally opened the 'Panama Canal', one of the most prestigious but also most costly projects in the history of modern engineering. The government has not commented on anything except the annual charges for the rights of passage.;;;;;;;;;;;;;
EVTDESC97380_NEWS_SHORT;The $COUNRTY_ADJ$ High Council has formally opened the 'Panama Canal', one of the most prestigious but also most costly projects in the history of modern engineering.;;;;;;;;;;;;;
EVTNAME97405_NEWS_TITLE;ÓÊ·Ñ²»×ã£¡;;;;;;;;;;;;;
EVTDESC97405_NEWS_LONG;Ò»ÕÅ´Ó×î½üÍ¨º½µÄ°ÍÄÃÂíÔËºÓ¼ÄÀ´µÄĞ¡Ğ¡ºØ¿¨Òı·¢ÁË$COUNRTY_ADJ$ÀúÊ·ÉÏ×îÑÏÖØµÄ¿¹Òé¡£¸ù¾İÎÒÃÇ¼ÇÕßÄÃµ½µÄÃØÃÜÑ¶ÎÊ¼ÇÂ¼£¬É§¶¯Ê¼ÓÚ¡°·´¶Ô°üÀ¨³¬Ö§µÄÒ»ÇĞ¡±×éÖ¯µÄ³ÉÔ±¶ÔÒ»Ãû$CAPITAL$¹ÙÔ±µÄÖ¸¿Ø¡£ÕâÃû¹ÙÔ±´ÓÒ»¸öÎ´ÖªÀ´Ô´ÊÕµ½Ò»·İ°ÍÄÃÂíË½ÈËºØ¿¨ºóË½×ÔÊ¹ÓÃ¹ú¿â×Ê½ğÖ§¸¶ÁË²»¹»µÄÓÊ·Ñ¡£Õş¸®ÈÏÎª´ËÏîÖ¸¿ØºÁÎŞ¸ù¾İ¡£ ;;;;;;;;;;;;;
EVTDESC97405_NEWS_MEDIUM;Ò»ÕÅ´Ó×î½üÍ¨º½µÄ°ÍÄÃÂíÔËºÓ¼ÄÀ´µÄĞ¡Ğ¡ºØ¿¨Òı·¢ÁË$COUNRTY_ADJ$ÀúÊ·ÉÏ×îÑÏÖØµÄ¿¹Òé¡£É§¶¯Ê¼ÓÚ¡°·´¶Ô°üÀ¨³¬Ö§µÄÒ»ÇĞ¡±×éÖ¯µÄ³ÉÔ±¶ÔÒ»Ãû$CAPITAL$¹ÙÔ±µÄÖ¸¿Ø¡£ÕâÃû¹ÙÔ±Ë½×ÔÊ¹ÓÃ¹ú¿â×Ê½ğÖ§¸¶ÁË²»¹»µÄÓÊ·Ñ¡£;;;;;;;;;;;;;
EVTDESC97405_NEWS_SHORT;Ò»ÕÅ´Ó×î½üÍ¨º½µÄ°ÍÄÃÂíÔËºÓ¼ÄÀ´µÄĞ¡Ğ¡ºØ¿¨Òı·¢ÁË$COUNRTY_ADJ$ÀúÊ·ÉÏ×îÑÏÖØµÄ¿¹Òé¡£Ä³¹ÙÔ±Ë½×ÔÊ¹ÓÃ¹ú¿â×Ê½ğÖ§¸¶²»¹»µÄÓÊ·Ñ¡£;;;;;;;;;;;;;
EVTDESC190461_NEWS_LONG;‚I Have Looked Upon the Face of Agamemnon…‘ reads the short message on a wadded piece of paper, handed over to our reporter by the $COUNTRY_ADJ$ excavation leader. After many months of searching his team has finally discovered the ancient tomb at Mycenae that would, according to local tales, hold the final resting place of famous Agamemnon and his even more famous burial mask. The prestigious finding has already given much international attention to the $COUNTRY_ADJ$ Excavation Office in $CAPITAL$ and will surely enhance further research in these fields.;;;;;;;;;;;;;
EVTDESC190461_NEWS_MEDIUM;Ò»Ö§$COUNTRY_ADJ$·¢¾ò¶Ó½üÆÚ·¢ÏÖÁËÒ»×ùÎ»ÓÚÂõÎıÄáµÄ¹ÅÄ¹£¬°¢Ù¤ÃÅÅ©ºÍËûµÄÔáÀñÃæ¾ß°²Ï¢ÓÚ´Ë¡£ÕâÒ»·¢ÏÖ´ø¸øÁË$COUNTRY_ADJ$·¢¾ò¾Ö¾Ş´óµÄ¹ú¼Ê¹Ø×¢£¬²¢±ØÈ»»á´Ù½ø½øÒ»²½µÄÑĞ¾¿¡£;;;;;;;;;;;;;
EVTDESC190461_NEWS_SHORT;Ò»Ö§$COUNTRY_ADJ$·¢¾ò¶Ó·¢ÏÖÁË°¢Ù¤ÃÅÅ©µÄ°²ÔáµØ¡£ÕâÒ»·¢ÏÖÈ¡µÃÁË¾Ş´óµÄ¹ú¼Ê¹Ø×¢£¬²¢½«´Ù½ø½øÒ»²½µÄÑĞ¾¿¡£;;;;;;;;;;;;;
EVTNAME1904612_NEWS_TITLE;Ã×ÅµË¹¹úÍõµÄ¹¬µî±»·¢ÏÖ;;;;;;;;;;;;;
EVTDESC1904612_NEWS_LONG;ÔÚ$COUNTRY$×îÖøÃûµÄ¿¼¹ÅÑ§¶ÓÎéÖ®Ò»ÔÚ¿ËÀïÌØ¿ªÊ¼ËûÃÇµÄ¹¤×÷Ö®Ç°,¹Å´ú¿ËÀïÌØÎÄ»¯½öÄ£ºıµØÏÖÓÚ¹ÅµäÏ£À°Éñ»°ÖĞ¡£¾­¹ı¼¸¸öÔÂµÄÏµÍ³ĞÔ·¢¾òºó£¬¿¼¹Å¶ÓÖÕÓÚ·¢ÏÖÁËÎ»ÓÚ¿ËÅµË÷Ë¹¸½½üµÄÒ»¸ö¸´ºÏ½¨Öş£¬¾İ$COUNTRY_ADJ$¿¼¹Å¶ÓÖ¸»Ó³Æ£¬ÕâËÆºõÊÇÃ×ÅµË¹Íõ¹¬µîµÄµØ»ù¡£ÕâÒ»¾ÙÊÀÎÅÃûµÄ·¢ÏÖ´ø¸øÁËÎ»ÓÚ$CAPITAL$µÄ$COUNTRY_ADJ$·¢¾ò¾Ö¾Ş´óµÄ¹ú¼Ê¹Ø×¢£¬²¢±ØÈ»»á´Ù½øÔÚ¸ÃÁìÓò¸ü¼ÓÉîÈëµÄÑĞ¾¿¡£;;;;;;;;;;;;;
EVTDESC1904612_NEWS_MEDIUM;Ò»Ö§$COUNTRY_ADJ$·¢¾ò¶ÓÔÚ¿ËÀïÌØµº·¢ÏÖÁËÒ»¸öÎ»ÓÚ¿ËÅµË÷Ë¹¸½½üµÄ¸´ºÏ½¨Öş£¬¸Ã½¨ÖşÓĞ¿ÉÄÜÊÇÃ×ÅµË¹¹¬µîµÄµØ»ù¡£Õâ·¢ÏÖ´ø¸øÁË$COUNTRY_ADJ$·¢¾ò¾Ö¾Ş´óµÄ¹ú¼Ê¹Ø×¢£¬²¢±ØÈ»»á´Ù½øÔÚ¸ÃÁìÓò¸ü¼ÓÉîÈëµÄÑĞ¾¿¡£;;;;;;;;;;;;;
EVTDESC1904612_NEWS_SHORT;Ò»Ö§$COUNTRY_ADJ$·¢¾ò¶ÓÔÚ¿ËÀïÌØµº·¢ÏÖÁËÒ»¸öÎ»ÓÚ¿ËÅµË÷Ë¹¸½½üµÄ¸´ºÏ½¨Öş¡£ÕâÒ»·¢ÏÖ»ñµÃÁË¾Ş´óµÄ¹ú¼Ê¹Ø×¢²¢½«´Ù½ø½øÒ»²½µÄÑĞ¾¿¡£;;;;;;;;;;;;;
EVTNAME1905101_NEWS_TITLE;Äá°²µÂÌØÈËÒÅÖ·±»·¢ÏÖ;;;;;;;;;;;;;
EVTDESC1905101_NEWS_LONG;Ò»Ö»¿Æ¿¼¶ÓÔÚµÂ¹ú¶ÅÈû¶û¶à·ò¸½½ü·¢ÏÖÁËÔ¶¹ÅÈËÀà×æÏÈµÄÒÅ¹Ç¡£¾İ$COUNTRY_ADJ$¿Æ¿¼¶ÓÖ¸»Ó³Æ£¬ÕâÖÖ¡°Äá°²µÂÌØÈË¡±ËÆºõÊÇÒ»ÖÖÔçÒÑÃğ¾øµÄÓëÏÖ´úÈËÀàÓĞ¹ØµÄÈËÊôÎïÖÖ»òÑÇÖÖ¡£ÓÉÓÚ¹ıÈ¥¿ÆÑ§¼Ò´ÓÀ´Ã»ÓĞ¼û¹ıÓë´ËÀàËÆµÄÒÅ¹Ç£¬ÕâÒ»¾ÙÊÀÎÅÃûµÄ·¢ÏÖ´ø¸øÁËÎ»ÓÚ$CAPITAL$µÄ$COUNTRY_ADJ$È«¹ú¿Æ¼¼Î¯Ô±»á¾Ş´óµÄ¹ú¼Ê¹Ø×¢£¬²¢±ØÈ»»á´Ù½øÔÚ¸ÃÁìÓò¸ü¼ÓÉîÈëµÄÑĞ¾¿¡£;;;;;;;;;;;;;
EVTDESC1905101_NEWS_MEDIUM;Ò»Ö§¿Æ¿¼¶ÓÔÚµÂ¹ú¶ÅÈû¶û¶à·ò¸½½ü·¢ÏÖÁËÔ¶¹ÅÈËÀà×æÏÈµÄÒÅ¹Ç£¬ÕâÒ»¾ÙÊÀÎÅÃûµÄ·¢ÏÖ´ø¸øÁËÎ»ÓÚ$CAPITAL$µÄ$COUNTRY_ADJ$È«¹ú¿Æ¼¼Î¯Ô±»á¾Ş´óµÄ¹ú¼Ê¹Ø×¢£¬²¢±ØÈ»»á´Ù½øÔÚ¸ÃÁìÓò¸ü¼ÓÉîÈëµÄÑĞ¾¿¡£;;;;;;;;;;;;;
EVTDESC1905101_NEWS_SHORT;$COUNTRY_ADJ$ scientists have found bones of primative ancient men near Dusseldorf in German territory. The finding has given much attention and will enhance further research.;;;;;;;;;;;;;
EVTNAME1905201_NEWS_TITLE;Ö±Á¢ÈË±»·¢ÏÖ;;;;;;;;;;;;;
EVTDESC1905201_NEWS_LONG;Ò»Ö»¿Æ¿¼¶ÓÔÚÓ¡¶ÈÑó×¦ÍÛµº·¢ÏÖÁËÔ¶¹ÅÈËÀà×æÏÈµÄÒÅ¹Ç¡£¾İ$COUNTRY_ADJ$¿Æ¿¼¶ÓÖ¸»Ó³Æ£¬ÕâÖÖ¡°Ö±Á¢ÈË¡±¿ÉÄÜÊÇÉú»îÔÚÑÇÖŞ»òÕß·ÇÖŞµÄÈËÊôÎïÖÖ£¬²¢×îÖÕ½ø»¯Îª¡°ÖÇÈË¡±¡£ÓÉÓÚ¿ÆÑ§½ç´ËÇ°¶ÔÕâÖÖÔ¶¹ÅÒÅ¹ÇÒ»ÎŞËùÖª£¬ÕâÒ»¾ÙÊÀÎÅÃûµÄ·¢ÏÖ´ø¸øÁËÎ»ÓÚ$CAPITAL$µÄ$COUNTRY_ADJ$È«¹ú¿Æ¼¼Î¯Ô±»á¾Ş´óµÄ¹ú¼Ê¹Ø×¢£¬²¢±ØÈ»»á´Ù½øÔÚ¸ÃÁìÓò¸ü¼ÓÉîÈëµÄÑĞ¾¿¡£;;;;;;;;;;;;;
EVTDESC1905201_NEWS_MEDIUM;Ò»Ö»$COUNTRY_ADJ$¿Æ¿¼¶ÓÔÚÓ¡¶ÈÑó×¦ÍÛµº·¢ÏÖÁËÔ¶¹ÅÈËÀà×æÏÈµÄÒÅ¹Ç¡£ÕâÒ»¾ÙÊÀÎÅÃûµÄ·¢ÏÖ´ø¸øÁËÎ»ÓÚ$CAPITAL$µÄ$COUNTRY_ADJ$È«¹ú¿Æ¼¼Î¯Ô±»á¾Ş´óµÄ¹ú¼Ê¹Ø×¢£¬²¢±ØÈ»»á´Ù½øÔÚ¸ÃÁìÓò¸ü¼ÓÉîÈëµÄÑĞ¾¿¡£;;;;;;;;;;;;;
EVTDESC1905201_NEWS_SHORT;$COUNTRY_ADJ$ scientists have found bones of primative ancient men on the island of Java in the Indian Ocean. The finding has given much attention and will enhance further research.;;;;;;;;;;;;;
EVTNAME1905301_NEWS_TITLE;¿ÆÑ§¼Ò·¢ÏÖÄÏ·½¹ÅÔ³ÈË;;;;;;;;;;;;;
EVTDESC1905301_NEWS_LONG;$COUNTRY_ADJ$ scientists have found a skull of an odd ape-creature child near Taung in South-African territory. According to the $COUNTRY_ADJ$ scientists leader, 'Australopithecus Africanus' –or simply 'Taung-child' by our reporter - could possibly represent a viable candidate for the ancestor of the genus ‚Homo‘. As this type of ancient skull has been unknown so far the prestigious finding has already given much international attention to the $COUNTRY_ADJ$ National Council of Science in $CAPITAL$ and will surely enhance further research in these fields.;;;;;;;;;;;;;
EVTDESC1905301_NEWS_MEDIUM;$COUNTRY_ADJ$ scientists have found a skull of an odd ape-creature child near Taung in South-African territory. The prestigious finding has given much international attention to the $COUNTRY_ADJ$ National Council of Science and will surely enhance further research.;;;;;;;;;;;;;
